OMRÅDE;BEVOKSNING;TID;INDHOLD
Frederiksberg;Nåletræer i alt;2000;0,0
Frederiksberg;Rødgran;1990;0,0
Frederiksberg;Rødgran;2000;0,0
Frederiksberg;Sitkagran mv.;1990;0,0
Frederiksberg;Sitkagran mv.;2000;0,0
Frederiksberg;Nobilis;1990;0,0
Frederiksberg;Nobilis;2000;0,0
Frederiksberg;Nordmannsgran;1990;0,0
Frederiksberg;Nordmannsgran;2000;0,0
Frederiksberg;Andre ædelgranarter;1990;0,0
Frederiksberg;Andre ædelgranarter;2000;0,0
Frederiksberg;Andre nåletræarter;1990;0,0
Frederiksberg;Andre nåletræarter;2000;0,0
Københavns Amt;Skovareal i alt;1990;4962,6
Københavns Amt;Skovareal i alt;2000;4643,1
Københavns Amt;Hjælpearealer;1990;432,4
Københavns Amt;Hjælpearealer;2000;221,4
Københavns Amt;Skovbevokset areal i alt;1990;4530,2
Københavns Amt;Skovbevokset areal i alt;2000;4421,7
Københavns Amt;Midlertidig ubevokset;1990;421,7
Københavns Amt;Midlertidig ubevokset;2000;12,4
Københavns Amt;Løvtræer, areal i alt;1990;3444,7
Københavns Amt;Løvtræer, areal i alt;2000;3658,3
Københavns Amt;Bøg;1990;1726,9
Københavns Amt;Bøg;2000;1788,5
Københavns Amt;Eg;1990;821,4
Københavns Amt;Eg;2000;963,2
Københavns Amt;Ask;1990;38,7
Københavns Amt;Ask;2000;70,6
Københavns Amt;Ær (Ahorn);1990;164,1
Københavns Amt;Ær (Ahorn);2000;191,9
Københavns Amt;Andre løvtræarter;1990;693,6
Københavns Amt;Andre løvtræarter;2000;644,1
Københavns Amt;Nåletræer i alt;1990;663,8
Københavns Amt;Nåletræer i alt;2000;751,0
Københavns Amt;Rødgran;1990;343,9
Københavns Amt;Rødgran;2000;373,1
Københavns Amt;Sitkagran mv.;1990;26,5
Københavns Amt;Sitkagran mv.;2000;13,4
Københavns Amt;Nobilis;1990;18,3
Københavns Amt;Nobilis;2000;11,7
Københavns Amt;Nordmannsgran;1990;67,1
Københavns Amt;Nordmannsgran;2000;94,8
Københavns Amt;Andre ædelgranarter;1990;73,5
Københavns Amt;Andre ædelgranarter;2000;66,9
Københavns Amt;Andre nåletræarter;1990;134,5
Københavns Amt;Andre nåletræarter;2000;191,1
Albertslund;Skovareal i alt;1990;604,9
Albertslund;Skovareal i alt;2000;580,3
Albertslund;Hjælpearealer;1990;55,1
Albertslund;Hjælpearealer;2000;40,9
Albertslund;Skovbevokset areal i alt;1990;549,8
Albertslund;Skovbevokset areal i alt;2000;539,4
Albertslund;Midlertidig ubevokset;1990;69,4
Albertslund;Midlertidig ubevokset;2000;4,4
Albertslund;Løvtræer, areal i alt;1990;371,9
Albertslund;Løvtræer, areal i alt;2000;388,3
Albertslund;Bøg;1990;106,9
Albertslund;Bøg;2000;114,0
Albertslund;Eg;1990;160,1
Albertslund;Eg;2000;182,2
Albertslund;Ask;1990;0,7
Albertslund;Ask;2000;9,2
Albertslund;Ær (Ahorn);1990;38,7
Albertslund;Ær (Ahorn);2000;39,9
Albertslund;Andre løvtræarter;1990;65,5
Albertslund;Andre løvtræarter;2000;43,0
Albertslund;Nåletræer i alt;1990;108,5
Albertslund;Nåletræer i alt;2000;146,7
Albertslund;Rødgran;1990;19,1
Albertslund;Rødgran;2000;28,6
Albertslund;Sitkagran mv.;1990;12,5
Albertslund;Sitkagran mv.;2000;0,0
Albertslund;Nobilis;1990;6,2
Albertslund;Nobilis;2000;4,6
Albertslund;Nordmannsgran;1990;6,0
Albertslund;Nordmannsgran;2000;6,8
Albertslund;Andre ædelgranarter;1990;32,0
Albertslund;Andre ædelgranarter;2000;31,2
Albertslund;Andre nåletræarter;1990;32,7
Albertslund;Andre nåletræarter;2000;75,5
Ballerup;Skovareal i alt;1990;3,5
Ballerup;Skovareal i alt;2000;47,3
Ballerup;Hjælpearealer;1990;0,0
Ballerup;Hjælpearealer;2000;0,0
Ballerup;Skovbevokset areal i alt;1990;3,5
Ballerup;Skovbevokset areal i alt;2000;47,3
Ballerup;Midlertidig ubevokset;1990;0,0
Ballerup;Midlertidig ubevokset;2000;0,0
Ballerup;Løvtræer, areal i alt;1990;0,0
Ballerup;Løvtræer, areal i alt;2000;33,9
Ballerup;Bøg;1990;0,0
Ballerup;Bøg;2000;14,1
Ballerup;Eg;1990;0,0
Ballerup;Eg;2000;14,5
Ballerup;Ask;1990;0,0
Ballerup;Ask;2000;1,6
Ballerup;Ær (Ahorn);1990;0,0
Ballerup;Ær (Ahorn);2000;0,0
Ballerup;Andre løvtræarter;1990;0,0
Ballerup;Andre løvtræarter;2000;3,7
Ballerup;Nåletræer i alt;1990;3,5
Ballerup;Nåletræer i alt;2000;13,4
Ballerup;Rødgran;1990;1,2
Ballerup;Rødgran;2000;10,5
Ballerup;Sitkagran mv.;1990;0,0
Ballerup;Sitkagran mv.;2000;0,0
Ballerup;Nobilis;1990;0,0
Ballerup;Nobilis;2000;0,0
Ballerup;Nordmannsgran;1990;1,2
Ballerup;Nordmannsgran;2000;2,0
Ballerup;Andre ædelgranarter;1990;0,0
Ballerup;Andre ædelgranarter;2000;0,0
Ballerup;Andre nåletræarter;1990;1,1
